# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GutHK_D11_089   -               17     878      13     877       3     882    1466    +           0 1034.1  23.7  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GutHK_D11_089   -               15     861      11     876       2     882    1461    +    2.9e-251  834.6  21.9  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_D11_089   -                5     804      69     876      65     882    1416    +    4.9e-251  834.0  21.8  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GutHK_D11_089   -               34     890      10     876       3     882    1532    +      1e-250  832.9  23.0  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GutHK_D11_089   -                2     844      18     876      17     882    1422    +    3.3e-250  831.3  22.2  -
Yersiniaceae_Rouxiella                           -          LKAP-GutHK_D11_089   -               43     896      10     876       3     882    1551    +    3.8e-250  830.9  23.2  -
Enterobacteriaceae_Escherichia                   -          LKAP-GutHK_D11_089   -               14     867      10     876       3     882    1480    +    4.6e-250  830.8  23.1  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_D11_089   -               11     860      13     876       3     882    1471    +    5.3e-250  830.7  24.0  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GutHK_D11_089   -               28     829      67     876      49     882    1396    +    1.3e-249  829.3  22.0  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GutHK_D11_089   -               29     871      16     876       3     882    1503    +    4.2e-249  827.6  23.2  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_D11_089   -                2     845      17     876      16     882    1457    +    5.1e-249  827.2  22.3  -
Aeromonadaceae_Aeromonas                         -          LKAP-GutHK_D11_089   -               34     888      11     876       3     882    1503    +    5.3e-249  827.0  22.9  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GutHK_D11_089   -               27     877      11     876       3     882    1436    +    9.7e-249  826.4  23.2  -
Hafniaceae_Hafnia                                -          LKAP-GutHK_D11_089   -               22     867      15     876       3     882    1463    +    1.9e-248  825.3  23.1  -
Yersiniaceae_Yersinia                            -          LKAP-GutHK_D11_089   -               14     867      10     876       3     882    1461    +    1.3e-247  822.6  23.0  -
Alteromonadaceae_Agarivorans                     -          LKAP-GutHK_D11_089   -               30     874      16     876       3     882    1454    +    3.7e-247  821.1  22.8  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GutHK_D11_089   -               12     853      17     876       8     882    1455    +      4e-247  821.0  22.3  -
Colwelliaceae_Thalassotalea                      -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1463    +    1.1e-246  819.7  23.1  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GutHK_D11_089   -               20     864      16     876       2     882    1459    +    2.1e-246  818.6  23.0  -
Enterobacteriaceae_Mangrovibacter                -          LKAP-GutHK_D11_089   -               16     814      70     876      64     882    1368    +    6.6e-246  817.0  21.9  -
Chromatiaceae_Rheinheimera                       -          LKAP-GutHK_D11_089   -               22     856      11     876       2     882    1472    +    1.1e-245  816.2  23.0  -
Enterobacteriaceae_Shigella                      -          LKAP-GutHK_D11_089   -               22     875      10     876       3     882    1488    +    1.5e-245  815.8  23.1  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GutHK_D11_089   -               45     845      68     876      48     882    1422    +    1.5e-245  815.5  21.9  -
Pectobacteriaceae_Dickeya                        -          LKAP-GutHK_D11_089   -               13     864      12     876       3     882    1421    +    1.7e-245  815.6  23.4  -
Idiomarinaceae_Idiomarina                        -          LKAP-GutHK_D11_089   -               20     873      11     876       3     882    1471    +    1.9e-245  815.3  22.6  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GutHK_D11_089   -                9     860      10     876       4     882    1449    +      2e-245  815.4  23.1  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-GutHK_D11_089   -               14     866      10     876       3     882    1464    +    1.2e-244  812.6  23.1  -
Enterobacteriaceae_Franconibacter                -          LKAP-GutHK_D11_089   -               29     871      16     876       2     882    1325    +    3.7e-244  811.4  22.8  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GutHK_D11_089   -               50     894      16     876       2     882    1451    +    8.5e-244  810.1  22.7  -
Alteromonadaceae_Catenovulum                     -          LKAP-GutHK_D11_089   -               23     859      16     876       2     882    1451    +    1.1e-243  809.5  22.3  -
Enterobacteriaceae_Raoultella                    -          LKAP-GutHK_D11_089   -               12     863      10     876       3     882    1452    +    1.8e-243  809.0  23.1  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GutHK_D11_089   -               43     887      16     876       2     882    1506    +    2.5e-243  808.3  22.9  -
Moritellaceae_Paramoritella                      -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1512    +    3.9e-243  807.6  23.3  -
Aeromonadaceae_Zobellella                        -          LKAP-GutHK_D11_089   -               21     874      10     876       3     882    1478    +    4.7e-243  807.3  23.2  -
Aeromonadaceae_Oceanimonas                       -          LKAP-GutHK_D11_089   -               20     866      16     876       3     882    1483    +    7.1e-243  806.8  23.1  -
Enterobacteriaceae_Shimwellia                    -          LKAP-GutHK_D11_089   -                2     845      17     876      16     882    1422    +    4.4e-242  804.4  22.1  -
Colwelliaceae_Colwellia                          -          LKAP-GutHK_D11_089   -               14     867      10     876       3     882    1485    +      7e-242  803.6  22.9  -
Alteromonadaceae_Alishewanella                   -          LKAP-GutHK_D11_089   -               25     858      10     876       2     882    1426    +    7.2e-242  803.6  22.5  -
Psychromonadaceae_Psychromonas                   -          LKAP-GutHK_D11_089   -               15     867      11     876       3     882    1467    +    5.4e-241  800.7  23.0  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-GutHK_D11_089   -               21     871      10     876       3     882    1502    +    6.1e-241  800.5  23.0  -
Budviciaceae_Budvicia                            -          LKAP-GutHK_D11_089   -               35     888      10     876       2     882    1536    +    1.5e-240  799.1  23.5  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-GutHK_D11_089   -               41     884      16     877       2     882    1502    +    1.6e-240  799.1  23.4  -
Colwelliaceae_Thalassomonas                      -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1462    +    2.5e-240  798.5  22.7  -
Pectobacteriaceae_Sodalis                        -          LKAP-GutHK_D11_089   -               10     863      10     876       4     882    1511    +    3.1e-240  798.1  23.0  -
Enterobacteriaceae_Cedecea                       -          LKAP-GutHK_D11_089   -                1     789      80     876      80     882    1403    +    3.4e-240  798.1  20.6  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-GutHK_D11_089   -               29     880      10     876       3     882    1490    +    3.4e-240  797.9  22.5  -
Yersiniaceae_Rahnella                            -          LKAP-GutHK_D11_089   -                1     788      81     876      81     882    1345    +    1.2e-239  796.2  20.7  -
Morganellaceae_Xenorhabdus                       -          LKAP-GutHK_D11_089   -               16     869      10     876       3     882    1493    +    1.3e-239  796.2  23.4  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP-GutHK_D11_089   -               49     850      67     876      43     882    1491    +    1.6e-239  795.6  21.9  -
Morganellaceae_Morganella                        -          LKAP-GutHK_D11_089   -               17     814      71     876      64     882    1356    +    3.4e-238  791.6  21.8  -
Thorselliaceae_Thorsellia                        -          LKAP-GutHK_D11_089   -                3     844      15     876      10     882    1421    +    5.5e-237  787.3  22.6  -
Alteromonadaceae_Marinobacterium                 -          LKAP-GutHK_D11_089   -               23     867      16     876       3     882    1465    +    1.3e-236  786.2  22.9  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-GutHK_D11_089   -                3     841      21     876      19     882    1410    +    6.3e-236  783.7  22.0  -
Morganellaceae_Providencia                       -          LKAP-GutHK_D11_089   -               23     873      11     876       3     882    1489    +    9.7e-236  783.2  23.6  -
Hafniaceae_Edwardsiella                          -          LKAP-GutHK_D11_089   -               24     869      17     876       2     882    1466    +      1e-235  783.1  23.0  -
Morganellaceae_Proteus                           -          LKAP-GutHK_D11_089   -               24     877      10     876       3     882    1494    +    1.3e-234  779.5  23.4  -
Alteromonadaceae_Aliagarivorans                  -          LKAP-GutHK_D11_089   -                8     873      11     876       5     882    1462    +    2.3e-234  778.9  23.5  -
Aeromonadaceae_Tolumonas                         -          LKAP-GutHK_D11_089   -               34     878      17     876       3     882    1514    +    5.2e-234  777.6  23.2  -
Alteromonadaceae_Paraglaciecola                  -          LKAP-GutHK_D11_089   -               25     869      11     876       3     882    1495    +    1.7e-233  775.5  22.7  -
Morganellaceae_Photorhabdus                      -          LKAP-GutHK_D11_089   -               25     871      16     876       2     882    1478    +    1.7e-233  776.2  23.1  -
Pectobacteriaceae_Lonsdalea                      -          LKAP-GutHK_D11_089   -                1     788      81     876      81     882    1345    +    4.2e-232  771.3  20.7  -
Alteromonadaceae_Glaciecola                      -          LKAP-GutHK_D11_089   -               31     879       7     876       2     882    1474    +      9e-232  770.0  23.0  -
Idiomarinaceae_Pseudidiomarina                   -          LKAP-GutHK_D11_089   -               14     868      10     876       3     882    1499    +    1.6e-231  769.1  22.4  -
Celerinatantimonadaceae_Celerinatantimonas       -          LKAP-GutHK_D11_089   -                9     875      10     877       4     882    1433    +    2.1e-230  765.6  22.9  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-GutHK_D11_089   -               43     881      16     877       2     882    1505    +    2.6e-230  765.3  23.1  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP-GutHK_D11_089   -               27     862      16     876       3     882    1450    +    2.9e-230  765.1  22.4  -
Oceanospirillaceae_Marinomonas                   -          LKAP-GutHK_D11_089   -               23     867      16     876       3     882    1467    +    2.9e-230  764.9  23.2  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-GutHK_D11_089   -               43     886      16     876       3     882    1505    +    3.3e-230  764.8  22.9  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-GutHK_D11_089   -               15     860      11     876       3     882    1480    +    4.1e-230  764.8  23.2  -
Moritellaceae_Moritella                          -          LKAP-GutHK_D11_089   -               44     889      17     876       3     882    1506    +    9.7e-230  763.2  22.2  -
Alteromonadaceae_Bowmanella                      -          LKAP-GutHK_D11_089   -               32     879      10     876       3     882    1496    +    1.6e-229  762.7  22.2  -
Alteromonadaceae_Aestuariibacter                 -          LKAP-GutHK_D11_089   -               23     859      16     876       3     882    1455    +      4e-228  758.0  21.9  -
Alteromonadaceae_Aliiglaciecola                  -          LKAP-GutHK_D11_089   -                8     847      15     876       8     882    1440    +    1.1e-227  756.5  21.6  -
Oceanospirillaceae_Thalassolituus                -          LKAP-GutHK_D11_089   -               30     872      16     876       2     882    1476    +    1.3e-227  756.2  22.7  -
Halieaceae_Halioglobus                           -          LKAP-GutHK_D11_089   -               15     859      10     876       3     882    1433    +    2.9e-227  755.2  23.6  -
Alteromonadaceae_Alteromonas                     -          LKAP-GutHK_D11_089   -               15     859      11     876       3     882    1464    +    4.7e-227  754.3  22.3  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-GutHK_D11_089   -               17     868      17     876       4     882    1494    +    8.9e-227  753.5  22.7  -
Cellvibrionaceae_Gilvimarinus                    -          LKAP-GutHK_D11_089   -               12     856      12     876       2     882    1445    +    2.6e-226  751.9  23.2  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-GutHK_D11_089   -               95     892      71     876      50     882    1541    +    4.1e-226  751.1  21.6  -
Orbaceae_Orbus                                   -          LKAP-GutHK_D11_089   -               27     876      10     876       3     882    1522    +    6.1e-226  750.6  23.3  -
Alteromonadaceae_Salinimonas                     -          LKAP-GutHK_D11_089   -               14     863      10     876       3     882    1459    +      3e-225  748.6  22.4  -
Pseudomonadaceae_Azotobacter                     -          LKAP-GutHK_D11_089   -               30     868      16     876       2     882    1473    +    4.4e-225  748.1  23.3  -
Pasteurellaceae_Pasteurella                      -          LKAP-GutHK_D11_089   -               14     868      10     876       3     882    1365    +    4.7e-225  748.0  23.5  -
Hahellaceae_Hahella                              -          LKAP-GutHK_D11_089   -               41     891      10     876       3     882    1539    +    5.2e-225  747.7  23.5  -
Pseudomonadaceae_Azomonas                        -          LKAP-GutHK_D11_089   -                7     849      17     876      11     882    1453    +    1.3e-224  746.4  21.5  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-GutHK_D11_089   -               14     866      10     876       3     882    1462    +    1.5e-224  746.2  23.1  -
Pasteurellaceae_Actinobacillus                   -          LKAP-GutHK_D11_089   -               14     867      10     876       3     882    1364    +      2e-224  746.0  23.5  -
Oceanospirillaceae_Amphritea                     -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1463    +    3.9e-224  744.7  22.9  -
Alteromonadaceae_Marinobacter                    -          LKAP-GutHK_D11_089   -               23     865      16     876       3     882    1478    +    6.9e-223  740.6  23.2  -
Pasteurellaceae_Haemophilus                      -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1450    +    1.4e-222  739.6  23.4  -
Halomonadaceae_Halomonas                         -          LKAP-GutHK_D11_089   -               22     866      15     876       2     882    1463    +    5.2e-222  737.7  23.1  -
Methylococcaceae_Methylococcus                   -          LKAP-GutHK_D11_089   -               36     872      17     876       4     882    1482    +    1.4e-221  736.3  22.9  -
Halieaceae_Haliea                                -          LKAP-GutHK_D11_089   -               34     881      10     876       3     882    1500    +    3.3e-221  735.1  23.6  -
Halieaceae_Parahaliea                            -          LKAP-GutHK_D11_089   -               14     860      10     876       3     882    1498    +    4.7e-221  734.6  23.8  -
Cellvibrionaceae_Simiduia                        -          LKAP-GutHK_D11_089   -               15     865      11     876       3     882    1463    +      2e-220  732.5  22.9  -
Pasteurellaceae_Mannheimia                       -          LKAP-GutHK_D11_089   -               35     885      11     876       3     882    1504    +    3.2e-220  731.8  23.3  -
Oceanospirillaceae_Marinospirillum               -          LKAP-GutHK_D11_089   -               15     859      11     876       3     882    1451    +    4.4e-220  731.4  22.3  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-GutHK_D11_089   -               14     867      10     876       3     882    1484    +    4.8e-220  731.2  23.0  -
Oceanospirillaceae_Oleispira                     -          LKAP-GutHK_D11_089   -               34     885      10     876       2     882    1500    +      5e-220  731.1  23.7  -
Cellvibrionaceae_Pseudomaricurvus                -          LKAP-GutHK_D11_089   -               23     858      16     876       3     882    1490    +    1.6e-219  729.3  22.8  -
Moraxellaceae_Moraxella                          -          LKAP-GutHK_D11_089   -               15     849      16     876       5     882    1446    +    2.2e-218  725.8  21.9  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-GutHK_D11_089   -               23     862      17     877       4     882    1487    +      4e-218  724.7  22.1  -
Pasteurellaceae_Ursidibacter                     -          LKAP-GutHK_D11_089   -               68     914      16     876       4     882    1409    +    4.3e-218  724.9  23.2  -
Lysobacteraceae_Lysobacter                       -          LKAP-GutHK_D11_089   -               24     871      15     876       2     882    1475    +    4.5e-217  721.4  23.4  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-GutHK_D11_089   -               43     887      16     876       2     882    1504    +      1e-216  720.1  22.9  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-GutHK_D11_089   -               23     865      16     876       3     882    1461    +    1.2e-216  720.0  23.8  -
Pasteurellaceae_Gallibacterium                   -          LKAP-GutHK_D11_089   -               23     868      16     876       3     882    1464    +    1.3e-216  720.0  23.3  -
Cellvibrionaceae_Eionea                          -          LKAP-GutHK_D11_089   -               16     863      10     876       2     882    1469    +    4.3e-216  718.1  22.5  -
Moraxellaceae_Alkanindiges                       -          LKAP-GutHK_D11_089   -               11     849      17     876      10     882    1396    +    7.2e-216  717.5  22.0  -
Thiotrichaceae_Leucothrix                        -          LKAP-GutHK_D11_089   -                9     858      10     876       2     882    1445    +    9.2e-216  716.8  23.9  -
Oceanospirillaceae_Reinekea                      -          LKAP-GutHK_D11_089   -               34     869      17     876       3     882    1512    +    1.1e-215  716.7  23.0  -
Oceanospirillaceae_Nitrincola                    -          LKAP-GutHK_D11_089   -               33     871      16     876       2     882    1477    +    1.4e-215  716.4  22.3  -
Methylococcaceae_Methylomonas                    -          LKAP-GutHK_D11_089   -               43     877      17     876       5     881    1475    +    2.1e-215  715.8  22.8  -
Halomonadaceae_Chromohalobacter                  -          LKAP-GutHK_D11_089   -               14     865      10     876       3     882    1480    +    3.7e-215  715.1  23.5  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-GutHK_D11_089   -               39     881      14     877       2     882    1488    +    4.4e-215  714.9  23.8  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-GutHK_D11_089   -               24     860      16     876       2     882    1459    +    6.4e-215  714.3  23.0  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-GutHK_D11_089   -               17     863      17     877       5     882    1483    +    6.5e-215  714.0  22.9  -
Lysobacteraceae_Luteimonas                       -          LKAP-GutHK_D11_089   -               28     874      16     877       2     882    1490    +    6.6e-215  714.1  23.3  -
Halomonadaceae_Salinicola                        -          LKAP-GutHK_D11_089   -               23     865      16     876       3     882    1471    +    7.1e-215  714.1  23.6  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-GutHK_D11_089   -               26     870      10     876       3     882    1507    +    1.3e-214  713.3  23.1  -
Methylococcaceae_Methylobacter                   -          LKAP-GutHK_D11_089   -               44     878      17     875       5     881    1500    +    4.9e-214  711.2  22.7  -
Moraxellaceae_Acinetobacter                      -          LKAP-GutHK_D11_089   -               19     860      16     877       3     882    1463    +    5.2e-214  711.4  22.9  -
Methylococcaceae_Methylomicrobium                -          LKAP-GutHK_D11_089   -               44     879      17     876       4     882    1467    +    7.1e-214  710.7  22.7  -
Vibrionaceae_Paraphotobacterium                  -          LKAP-GutHK_D11_089   -               48     891      16     875       2     882    1539    +    8.7e-214  710.1  23.4  -
Lysobacteraceae_Arenimonas                       -          LKAP-GutHK_D11_089   -               19     873      11     877       3     882    1490    +    1.9e-213  709.5  23.6  -
Legionellaceae_Legionella                        -          LKAP-GutHK_D11_089   -               19     865      16     876       3     882    1446    +      3e-213  708.8  22.3  -
Pasteurellaceae_Avibacterium                     -          LKAP-GutHK_D11_089   -               39     892      10     876       3     882    1480    +    5.3e-213  708.0  23.4  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          LKAP-GutHK_D11_089   -               40     877      16     876       3     882    1490    +    5.7e-213  707.9  23.7  -
Methylococcaceae_Methylocaldum                   -          LKAP-GutHK_D11_089   -               44     886      17     876       4     882    1491    +    6.2e-213  707.9  23.4  -
Cardiobacteriaceae_Suttonella                    -          LKAP-GutHK_D11_089   -               25     866      17     876       4     882    1486    +    1.9e-212  706.4  22.6  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-GutHK_D11_089   -               34     867      17     876       4     882    1436    +      2e-212  706.2  22.1  -
Halomonadaceae_Cobetia                           -          LKAP-GutHK_D11_089   -               32     877      15     876       2     882    1516    +    5.2e-212  704.5  23.7  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-GutHK_D11_089   -               26     862      16     876       2     882    1441    +    9.2e-212  703.6  23.1  -
Halomonadaceae_Kushneria                         -          LKAP-GutHK_D11_089   -               18     869      10     876       3     882    1461    +    1.5e-211  702.9  23.3  -
Cardiobacteriaceae_Cardiobacterium               -          LKAP-GutHK_D11_089   -               10     847      17     876      12     882    1493    +    2.9e-211  702.2  23.4  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-GutHK_D11_089   -               15     855      17     876       6     882    1438    +    3.2e-211  701.8  22.5  -
Chromatiaceae_Halochromatium                     -          LKAP-GutHK_D11_089   -               24     855      17     876       4     882    1451    +    5.5e-211  701.5  22.3  -
Moraxellaceae_Psychrobacter                      -          LKAP-GutHK_D11_089   -               15     863      11     876       3     882    1491    +    3.2e-210  698.7  22.9  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-GutHK_D11_089   -                5     829      20     876      16     882    1426    +    1.4e-209  696.6  21.6  -
Piscirickettsiaceae_Thiomicrospira               -          LKAP-GutHK_D11_089   -               27     871      16     877       3     882    1466    +    2.5e-209  695.7  22.3  -
Gammaproteobacteria_Sedimenticola                -          LKAP-GutHK_D11_089   -               38     886      17     876       3     882    1540    +    2.7e-209  695.6  21.9  -
Halothiobacillaceae_Halothiobacillus             -          LKAP-GutHK_D11_089   -               44     888      17     876       4     882    1505    +    3.3e-209  695.4  22.7  -
Lysobacteraceae_Vulcaniibacterium                -          LKAP-GutHK_D11_089   -               41     894      10     875       3     882    1549    +    6.3e-209  694.4  23.9  -
Lysobacteraceae_Silanimonas                      -          LKAP-GutHK_D11_089   -               79     883      67     877      41     882    1493    +    9.9e-209  693.8  22.2  -
Pasteurellaceae_Bisgaardia                       -          LKAP-GutHK_D11_089   -               23     880      11     876       3     882    1389    +    1.3e-208  693.5  23.2  -
Hahellaceae_Endozoicomonas                       -          LKAP-GutHK_D11_089   -               35     888      11     876       3     882    1524    +    6.4e-208  691.1  22.9  -
Halomonadaceae_Larsenimonas                      -          LKAP-GutHK_D11_089   -               35     886      10     876       3     882    1495    +    6.6e-208  691.0  23.6  -
Arenicellaceae_Arenicella                        -          LKAP-GutHK_D11_089   -               32     869      17     876       4     882    1506    +    2.1e-207  689.5  22.6  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-GutHK_D11_089   -               14     859      10     876       3     882    1455    +    2.3e-207  689.1  23.3  -
Rhodanobacteraceae_Dokdonella                    -          LKAP-GutHK_D11_089   -               23     862      16     876       3     882    1480    +    2.5e-207  689.2  24.2  -
Piscirickettsiaceae_Thiomicrorhabdus             -          LKAP-GutHK_D11_089   -               31     879      17     876       2     882    1464    +    2.6e-207  688.9  21.6  -
Lysobacteraceae_Pseudoxanthomonas                -          LKAP-GutHK_D11_089   -               26     874      16     877       2     882    1484    +    8.8e-207  687.3  23.0  -
Chromatiaceae_Marichromatium                     -          LKAP-GutHK_D11_089   -               34     863      17     876       4     882    1440    +    1.5e-206  686.8  22.5  -
Gammaproteobacteria_Plasticicumulans             -          LKAP-GutHK_D11_089   -               33     868      17     876       3     882    1491    +    1.6e-206  686.4  23.6  -
Pasteurellaceae_Aggregatibacter                  -          LKAP-GutHK_D11_089   -               39     890      10     876       3     882    1480    +    1.8e-206  686.3  23.3  -
Lysobacteraceae_Thermomonas                      -          LKAP-GutHK_D11_089   -               67     869      68     877      45     882    1488    +    1.8e-206  686.3  22.1  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-GutHK_D11_089   -               27     828      68     876      52     882    1318    +      5e-206  684.9  21.8  -
Kangiellaceae_Kangiella                          -          LKAP-GutHK_D11_089   -               32     878      17     876       5     882    1478    +    5.2e-206  684.7  22.1  -
Piscirickettsiaceae_Hydrogenovibrio              -          LKAP-GutHK_D11_089   -               23     883      16     877       3     882    1465    +    6.2e-206  684.4  22.6  -
Methylococcaceae_Methylovulum                    -          LKAP-GutHK_D11_089   -               43     875      17     876       5     882    1492    +    6.4e-206  684.4  22.4  -
Hahellaceae_Allohahella                          -          LKAP-GutHK_D11_089   -               31     879       7     876       2     882    1485    +    6.6e-206  684.5  24.2  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-GutHK_D11_089   -               39     889      16     876       3     882    1537    +    8.2e-206  684.3  22.6  -
Methylococcaceae_Methylosarcina                  -          LKAP-GutHK_D11_089   -               38     873      17     876       5     882    1515    +    8.2e-206  683.9  23.0  -
Succinivibrionaceae_Anaerobiospirillum           -          LKAP-GutHK_D11_089   -               34     847      17     876       3     882    1494    +      1e-205  683.7  21.6  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-GutHK_D11_089   -               24     866      17     874       5     879    1471    +    1.4e-205  683.4  22.4  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-GutHK_D11_089   -               10     852      15     876       6     882    1429    +    3.9e-205  681.9  22.5  -
Pasteurellaceae_Rodentibacter                    -          LKAP-GutHK_D11_089   -               49     886      16     876       3     882    1478    +    4.4e-205  681.7  23.6  -
Lysobacteraceae_Wohlfahrtiimonas                 -          LKAP-GutHK_D11_089   -               23     867      16     876       3     882    1448    +    5.5e-205  681.4  22.2  -
Chromatiaceae_Thiocapsa                          -          LKAP-GutHK_D11_089   -               40     869      17     876       4     882    1459    +    4.1e-204  678.7  22.6  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-GutHK_D11_089   -               50     845      69     876      46     882    1440    +    1.5e-203  676.8  21.2  -
Lysobacteraceae_Ignatzschineria                  -          LKAP-GutHK_D11_089   -               43     884      17     876       4     882    1541    +    1.2e-202  673.6  22.1  -
Hahellaceae_Kistimonas                           -          LKAP-GutHK_D11_089   -               34     886      10     876       3     882    1506    +    1.7e-202  673.1  22.5  -
Pasteurellaceae_Volucribacter                    -          LKAP-GutHK_D11_089   -               41     837      71     876      51     882    1434    +    1.8e-202  673.2  21.8  -
Nevskiaceae_Nevskia                              -          LKAP-GutHK_D11_089   -               29     855      17     876       4     882    1451    +    2.2e-202  673.0  22.9  -
Spongiibacteraceae_Zhongshania                   -          LKAP-GutHK_D11_089   -               43     881      16     876       3     882    1501    +    2.2e-202  672.6  22.4  -
Rhodocyclaceae_Azoarcus                          -          LKAP-GutHK_D11_089   -               22     862      15     876       3     882    1471    +    2.6e-202  672.5  22.9  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-GutHK_D11_089   -               23     866      16     876       3     882    1432    +    3.5e-202  672.2  22.5  -
